site,refMLH,refHesperia,text,municipality,province,material,medium,writing_direction,technique,signary,dual_system,separators,dating,municipality_latitude,municipality_longitude,province_latitude,province_longitude,dating_min,dating_max,dating_mean,dating_width,clean_text,material_cat,material_cat_code,medium_cat,medium_cat_code,writing_direction_cat_code,technique_cat,technique_cat_code,signary_cat,signary_cat_code,dual_system_cat,dual_system_cat_code,separators_cat,separators_cat_code
La Ciutadella de Roses,C.51.01.S1,GI.11.01,obi,Roses,Girona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Siglo III a.C.,42.26182986,3.17830899,42.17,2.67,-300.0,-201.0,-250.5,99.0,obi,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Mas Castellar,C.03.03.S1,GI.08.05,[---]tagokogi[---],Pontós,Girona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,Siglo IV a.C.,42.18676382,2.91760272,42.17,2.67,-400.0,-301.0,-350.5,99.0,[---]tagokogi[---],CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
El Mas Castellar,C.03.04.S1,GI.08.11,[---]eś,Pontós,Girona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Finales s. III - mediados s. I a.C.,42.18676382,2.91760272,42.17,2.67,-221.0,-26.0,-123.5,195.0,[---]eś,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Empúries,C.01.34.S1,GI.10.30,[---]ban,L'Escala,Girona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Primera mitad del s. I a.C.,42.12467235,3.13299609,42.17,2.67,-100.0,-51.0,-75.5,49.0,[---]ban,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Empúries,C.01.25.S1,GI.10.21,kans+,L'Escala,Girona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Siglo II - primera mitad s. I a.C.,42.12467235,3.13299609,42.17,2.67,-200.0,-51.0,-125.5,149.0,gans+,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ilduro I (Burriac),C.07.09.S1,B.44.09,kue,Cabrera de Mar,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Primer tercio del siglo I a.C.,41.52804539,2.39258336,41.45,2.08,-100.0,-67.0,-83.5,33.0,gue,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ilduro I (Burriac),C.07.10.S1,B.44.01,atinsin,Cabrera de Mar,Barcelona,CERAMICA,Tapadera,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Primer tercio del siglo I a.C.,41.52804539,2.39258336,41.45,2.08,-100.0,-67.0,-83.5,33.0,adinsin,CERAMICA,1,TAPADERA,22,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ilduro I (Burriac),C.07.12.S1,B.44.12,bala+,Cabrera de Mar,Barcelona,CERAMICA,Ánfora,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Siglo II a.C. probablemente.,41.52804539,2.39258336,41.45,2.08,-200.0,-101.0,-150.5,99.0,bala+,CERAMICA,1,ÁNFORA,7,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Can Rodon de l'Hort,C.07.13.S1,B.44.24,biuŕtir,Cabrera de Mar,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Siglo III a.C.,41.52804539,2.39258336,41.45,2.08,-300.0,-201.0,-250.5,99.0,biuŕdir,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Can Miralles-Can Modolell,C.07.14.S1,B.44.22,ḇa̱leśkeṯi̱na̱ṟbaḵa̱ṉ,Cabrera de Mar,Barcelona,CERAMICA,INSTRUMENTO,DEXTROGIRA,Incisión ante coctionem,LEVANTINO,NO DUAL,CARECE,Entre el 175 y el 150-140 a.C.,41.52804539,2.39258336,41.45,2.08,-175.0,-140.0,-157.5,35.0,ḇa̱leśgeḏi̱na̱ṟbag̱a̱ṉ,CERAMICA,1,INSTRUMENTO,10,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
