yacimiento;refMLH;refHesperia;texto;municipio;provincia;material;soporte;direccion_escritura;tecnica;signario;sistema_dual;separadores;datacion
Inestrillas (Contrebia Leucada);K.;LO.05.03;ska;Aguilar del Río Alhama;La Rioja;CERAMICA;RECIPIENTE;LEVOGIRA;IMPRESO;CELTIBERICO;NO DUAL;CARECE;Mediados del s. - II / s. -I
Clunia;K.13;BU.06.04;[---]i̲kooguustuunuo;Peñalba de Castro;Burgos;PIEDRA;LAPIDA;BUSTROFEDON;INCISION;CELTIBERICO W.;DUAL;CARECE;Terminus ante quem: s. I, en concreto, antes del reinado de Tiberio. Posiblemente siglo - I.
Desconocido;K.;SP.02.32FALSA;aratiko zkukai;Desconocido;Desconocida;BRONCE;TESERA;DEXTROGIRA;PUNTILLADO;CELTIBERICO E.;NO APLICA;CARECE;Fines del s.XX, antes de saber que era falsa se le daba una cronología de 150-75 a.C.
Desconocido;K.;SP.02.31FALSA;ias mu ko;Desconocido;Desconocida;BRONCE;TESERA;DEXTROGIRA;INCISION;CELTIBERICO W.;NO APLICA;CARECE;Antes de su análisis metalográfico se daba una fecha de 150-75 a.C., pero tras el análisis se fecha a finales del s.XX.
Numancia;K.09;SO.01.14FALSA;ka;Garray;Soria;BRONCE;TESERA;DEXTROGIRA;INCISION;CELTIBERICO E.;NO DUAL;CARECE;
Gruissan;K.17.1 = B.03.01;AUD.04.01;[---]+l̲ikum:steniotes:ge(---):rida;Gruissan;Aude;BRONCE;RECIPIENTE;DEXTROGIRA;PUNTILLADO;CELTIBERICO E.;DUAL;DOS PUNTOS;Primer tercio del s. I a.C.
Muro de Ágreda (Augustobriga, ¿Arekorata?);K.;SO.03.01;toutika;Ólvega;Soria;BRONCE;TESERA;DEXTROGIRA;INCISION;CELTIBERICO;DUAL;CARECE;s. I a.C., ante quem
Torrijo del Campo;K.;TE.03.01;kelaunikui terkininei:es- kenim:tures:lau- 3 ni:olzui:obakai eskenim:tures useizunos:korzo- 6 nei:lutorikum:ei- subos:atizai:ekue:kar- tinokum:ekue:lakikum 9 ekue:tirtokum:silabur sazom:ibos:esatui;Torrijo del Campo;Teruel;BRONCE;PLACA;DEXTROGIRA;INCISION;CELTIBERICO E.;NO DUAL;TRES PUNTOS;Finales del siglo - III hasta, aproximadamente, el cambio de la era.
Desconocido;K.;SP.02.16;[---]r [---]kue Tutai 3 batikan toulo izui 6;Desconocido;Desconocida;BRONCE;LAMINA/PLANCHA;DEXTROGIRA;INCISION;CELTIBERICO E.;NO DUAL;CARECE;Finales del siglo - III hasta, aproximadamente, el cambio de la era.
Mesa del Almendro;K.;SE.03.01;CAAR:ICVRBICA SALVANTICA- QVE;Lora del Río;Sevilla;BRONCE;TESERA;DEXTROGIRA;PUNTILLADO;LATINO;NO APLICA;un punto;Del siglo -I hasta el siglo I.
Venta del Pillo;K.;LO.04.01;[---]+likum;Alfaro;La Rioja;CERAMICA;RECIPIENTE;DEXTROGIRA;PINTADO;CELTIBERICO E.;NO DUAL;CARECE;Siglo II a.C. a principios del I d.C.
Monsanto da Beira (Castelo Branco)?;K.00.01;CSB.00.01;aḻizos:azas:balaisokum;Desconocido;Portugal;PLATA;RECIPIENTE;DEXTROGIRA;INCISION;CELTIBERICO E.;NO DUAL;DOS PUNTOS;Finales del s. III - cambio de Era.
Desconocido;K.00.02;Z.00.01;lubos:alizo- kum:aualo:ke(ntis): kontebiaz belaiskaz;Desconocido;Zaragoza;BRONCE;TESERA;DEXTROGIRA;INCISION;CELTIBERICO E.;NO DUAL;DOS PUNTOS y un punto en alto;Finales del siglo -III hasta primer tercio del s. -I.
Desconocido;K.00.03;SP.02.43;A: sekobiriza B: sekobiriza;Desconocido;Desconocida;BRONCE;TESERA;DEXTROGIRA;PUNTILLADO;CELTIBERICO E.;NO DUAL;CARECE;Finales del siglo - III hasta, aproximadamente, el cambio de la era.
Desconocido;K.00.04;SP.02.02;libiaka;Desconocido;Desconocida;BRONCE;TESERA;DEXTROGIRA;INCISION;CELTIBERICO E.;NO DUAL;CARECE;Finales del siglo - III hasta, aproximadamente, el cambio de la era.
Fosos de Bayona;K.00.05;CU.01.01;libiaka kortika:kar;Huete;Cuenca;BRONCE;TESERA;DEXTROGIRA;PUNTILLADO;CELTIBERICO E.;NO DUAL;DOS PUNTOS;Finales del siglo - III hasta, aproximadamente, el cambio de la era.
