yacimiento;refMLH;refHesperia;texto;municipio;provincia;material;soporte;direccion_escritura;tecnica;signario;sistema_dual;separadores;datacion
La Ciutadella de Roses;C.51.01.S1;GI.11.01;obi;Roses;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Siglo III a.C.
El Mas Castellar;C.03.03.S1;GI.08.05;[---]tagokogi[---];Pontós;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;DUAL;CARECE;Siglo IV a.C.
El Mas Castellar;C.03.04.S1;GI.08.11;[---]eś;Pontós;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Finales s. III - mediados s. I a.C.
Empúries;C.01.34.S1;GI.10.30;[---]ban;L'Escala;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Primera mitad del s. I a.C.
Empúries;C.01.25.S1;GI.10.21;kans+;L'Escala;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Siglo II - primera mitad s. I a.C.
Ilduro I (Burriac);C.07.09.S1;B.44.09;kue;Cabrera de Mar;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Primer tercio del siglo I a.C.
Ilduro I (Burriac);C.07.10.S1;B.44.01;atinsin;Cabrera de Mar;Barcelona;CERAMICA;Tapadera;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Primer tercio del siglo I a.C.
Ilduro I (Burriac);C.07.11.S1;B.44.13;la;Cabrera de Mar;Barcelona;CERAMICA;Ánfora;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Siglo II a.C. probablemente
Ilduro I (Burriac);C.07.12.S1;B.44.12;bala+;Cabrera de Mar;Barcelona;CERAMICA;Ánfora;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Siglo II a.C. probablemente.
Can Rodon de l'Hort;C.07.13.S1;B.44.24;biuŕtir;Cabrera de Mar;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Siglo III a.C.
Can Miralles-Can Modolell;C.07.14.S1;B.44.22;ḇa̱leśkeṯi̱na̱ṟbaḵa̱ṉ;Cabrera de Mar;Barcelona;CERAMICA;INSTRUMENTO;DEXTROGIRA;Incisión ante coctionem;LEVANTINO;NO DUAL;CARECE;Entre el 175 y el 150-140 a.C.
El Turó dels Dos Pins;C.07.15.S1;B.44.17;tikir;Cabrera de Mar;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Hacia el 200 a.C.
El Turó dels Dos Pins;C.07.16.S1;B.44.16;bantoŕenḿibaikar;Cabrera de Mar;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Quizás siglo III a.C.
La Cadira del Bisbe;C.30.01.S1;B.43.01;katon;Premià de Dalt;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;DUAL;CARECE;Mediados o segunda mitad del siglo IV a.C.
Cal Ros de les Cabres;C.54.01.S1;B.42.01;[---]ku-s[---];El Masnou;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;RAYA;Siglo II - mediados s. I a.C.
Baetulo;C.08.04.S1;B.41.17;[---]+ti;Badalona;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Quizá inicios del I a.C.
Baetulo;C.08.05.S1;B.41.14;si;Badalona;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;En torno al 100 a.C.
Baetulo;C.08.15.S1;B.41.16;[---]baś;Badalona;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Hacia el 100 a.C.
Baetulo;C.08.16.S1;B.41.13;lku;Badalona;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Segunda mitad del siglo II a.C. - primera mitad del siglo I a.C.
Baetulo;C.08.08.S1;B.41.11;karkankati;Badalona;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Segunda mitad del siglo II - primera mitad del siglo I a.C.
Baetulo;C.08.07.S1;B.41.10;ei;Badalona;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Probablemente primera mitad del siglo I a.C.
Baetulo;C.08.21.S1;B.41.07;l+[---];Badalona;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Siglo II a.C.
Baetulo;C.08.14.S1;B.41.15;tin[---];Badalona;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Primera mitad del siglo I a.C.
Baetulo;C.08.09.S1;B.41.06;iun;Badalona;Barcelona;CERAMICA;Tapadera;DEXTROGIRA;IMPRESO;LEVANTINO;NO DUAL;CARECE;Primera mitad del siglo I a.C.
Montjuïc;C.09.02.S1;B.37.03;baikar;Barcelona;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;DUAL;CARECE;Siglo IV a.C. (mediados o segunda mitad, probablemente)
Montjuïc;C.09.03.S1;B.37.04;uatina;Barcelona;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Siglo I a.C.
El Camí Vell del Llor;C.31.01.S1;B.36.03;iko;Sant Boi de Llobregat;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Tercer cuarto del s. II a.C.
El Camí Vell del Llor;C.31.09.S1;B.36.05;[---]ba+[---];Sant Boi de Llobregat;Barcelona;CERAMICA;Ánfora;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Tercer cuarto del s. II a.C.
El Camí Vell del Llor;C.31.10.S1;B.36.LATINA;VV;Sant Boi de Llobregat;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;
El Camí Vell del Llor;C.31.02.S1;B.36.06;[---]esa;Sant Boi de Llobregat;Barcelona;CERAMICA;Ánfora;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Tercer cuarto del siglo II a.C.
El Camí Vell del Llor;C.31.03.S1;B.36.08;[---]+eti+[---];Sant Boi de Llobregat;Barcelona;CERAMICA;Ánfora;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Primer cuarto del s. I a.C.
El Camí Vell del Llor;C.31.04.S1;B.36.07;[---]mba+[---];Sant Boi de Llobregat;Barcelona;CERAMICA;Ánfora;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Tercer cuarto del siglo I a.C.
Sant Boi de Llobregat;C.31.05.S1;B.36.02;tau[---];Sant Boi de Llobregat;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Mediados del s. II a.C.
Sant Boi de Llogregat;C.31.06.S1;B.36.04;laku;Sant Boi de Llogregat;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Primera mitad del siglo I a.C.
Sant Boi de Llobregat;C.31.07.S1;B.36.01;skeŕlakonaŕankokolo[---];Sant Boi de Llobregat;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;DUAL;CARECE;Siglos IV - III a.C.
Egara;C.32.01.S1;B.16.01;ai;Terrassa;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Siglo II a.C.
Egara;C.32.02.S1;B.16.02;bai[---];Terrassa;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Siglo II - mediados s. I a.C.
Egara;C.32.03.S1;B.16.04;use[---];Terrassa;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Finales del s. II o principios del I a.C.
Can Fatjó;C.11.13.S1;B.17.11;[---]lau;Rubí;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Primera mitad del I a.C.
El Turó de Ca n'Oliver;C.12.03.S1;B.20.14;[---]kule;Cerdanyola del Vallès;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Insegura: siglos II - I a.C.
El Turó de Ca n'Oliver;C.12.02.S1;B.20.04;bilo[s]aŕkerdegiar;Cerdanyola del Vallès;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;DUAL;CARECE;Entre el siglo IV y la segunda mitad del siglo III a.C.
El Puig Cardener;C.33.01.S1;B.13.01;aduŕọ[---];Manresa;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;DUAL;CARECE;Segunda mitad del siglo V a.C.
Boades;C.33.02.S1;B.14.01;lal;Castellgalí;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Segunda mitad del siglo II a.C.
Boades;C.33.04.S1 = C.58.4.S1;B.14.02;a) lu b) (aspa);Castellgalí;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Segunda mitad del siglo II a.C.
Boades;C.33.03.S1;B.14.03;baŕ;Castellgalí;Barcelona;CERAMICA;Ánfora;DEXTROGIRA;Incisión ante coctionem;LEVANTINO;NO DUAL;CARECE;Segunda mitad del siglo II a.C.
Sigarra;D. (C.34.06.S1);B.12.06;a) o b) a;Els Prats de Rei;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Primera mitad del siglo I a.C.
Sigarra;D.;B.12.07;[---]-s;Els Prats de Rei;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Siglo II - primera mitad del s. I a.C.
Sigarra;D. (C.34.01.S1);B.12.01;ata;Els Prats de Rei;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Siglo II a.C. - primera mitad s. I a.C.
Sigarra;D. (C.34.02.S1);B.12.03;ḿba;Els Prats de Rei;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Mediados o segunda mitad del siglo II a. E.
